cod_company,cod_weakness,cod_plan,objeto_social,Urgencia,Importancia,Plazo de ejecución,Complejidad,accepted
114477,4.2.1.,2.2.1.c.,"AMPLIADO EN CUANTO A. PROMOCION CONSTRUCCION, EXPLOTACION Y ENAJENACION DE VIVIENDAS, LOCALES, NAVES INDUSTRIALES OBRAS DE URBANIZACION ACTIVIDADES DE HOSTELERIA.",Menos urgente,Menos importante,6 meses,Complejo,1
114477,4.2.1.,2.2.1.c.,"AMPLIADO EN CUANTO A. PROMOCION CONSTRUCCION, EXPLOTACION Y ENAJENACION DE VIVIENDAS, LOCALES, NAVES INDUSTRIALES OBRAS DE URBANIZACION ACTIVIDADES DE HOSTELERIA.",Menos urgente,Menos importante,6 meses,Complejo,1
114477,4.2.1.,2.2.1.c.,"AMPLIADO EN CUANTO A. PROMOCION CONSTRUCCION, EXPLOTACION Y ENAJENACION DE VIVIENDAS, LOCALES, NAVES INDUSTRIALES OBRAS DE URBANIZACION ACTIVIDADES DE HOSTELERIA.",Menos urgente,Menos importante,6 meses,Complejo,1
114477,4.2.1.,2.2.1.c.,"AMPLIADO EN CUANTO A. PROMOCION CONSTRUCCION, EXPLOTACION Y ENAJENACION DE VIVIENDAS, LOCALES, NAVES INDUSTRIALES OBRAS DE URBANIZACION ACTIVIDADES DE HOSTELERIA.",Menos urgente,Menos importante,6 meses,Complejo,1
114477,4.2.1.,2.2.1.c.,"AMPLIADO EN CUANTO A. PROMOCION CONSTRUCCION, EXPLOTACION Y ENAJENACION DE VIVIENDAS, LOCALES, NAVES INDUSTRIALES OBRAS DE URBANIZACION ACTIVIDADES DE HOSTELERIA.",Menos urgente,Menos importante,6 meses,Complejo,1
114636,6.1.1.,6.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Importante,2 meses,Sencillo,1
114636,6.1.1.,6.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Importante,2 meses,Sencillo,1
114636,6.1.1.,6.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Importante,2 meses,Sencillo,1
114636,6.1.1.,6.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Importante,2 meses,Sencillo,1
114636,6.1.1.,6.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Importante,2 meses,Sencillo,1
114636,3.1.1.,3.1.1.d.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Muy importante,3 meses,Sencillo,1
114636,3.1.1.,3.1.1.d.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Urgente,Muy importante,3 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
